30,10,2.0
40,10,1.94
50,10,1.89
60,10,1.85
70,10,1.82
80,10,1.78
90,10,1.73
100,10,1.72
110,10,1.68
120,10,1.66
130,10,1.64
140,10,1.62
150,10,1.6
160,10,1.58
170,10,1.59
180,10,1.6
190,10,1.61
200,10,1.64
210,10,1.64
220,10,1.66
230,10,1.69
240,10,1.7
250,10,1.7
260,10,1.73
270,10,1.76
280,10,1.79
290,10,1.81
30,20,2.05
40,20,2.01
50,20,1.96
60,20,1.93
70,20,1.89
80,20,1.86
90,20,1.82
100,20,1.79
110,20,1.77
120,20,1.74
130,20,1.72
140,20,1.69
150,20,1.68
160,20,1.69
170,20,1.67
180,20,1.7
190,20,1.72
200,20,1.74
210,20,1.75
220,20,1.77
230,20,1.79
240,20,1.8
250,20,1.81
260,20,1.84
270,20,1.88
280,20,1.9
290,20,1.93
30,30,2.1
40,30,2.05
50,30,2.0
60,30,1.96
70,30,1.93
80,30,1.89
90,30,1.86
100,30,1.83
110,30,1.79
120,30,1.77
130,30,1.76
140,30,1.74
150,30,1.71
160,30,1.72
170,30,1.73
180,30,1.75
190,30,1.77
200,30,1.79
210,30,1.81
220,30,1.82
230,30,1.84
240,30,1.85
250,30,1.86
260,30,1.89
270,30,1.92
280,30,1.93
290,30,1.94
30,40,2.12
40,40,2.07
50,40,2.03
60,40,1.98
70,40,1.96
80,40,1.92
90,40,1.89
100,40,1.85
110,40,1.82
120,40,1.81
130,40,1.79
140,40,1.78
150,40,1.76
160,40,1.76
170,40,1.76
180,40,1.78
190,40,1.81
200,40,1.82
210,40,1.83
220,40,1.85
230,40,1.87
240,40,1.89
250,40,1.89
260,40,1.93
270,40,1.96
280,40,1.98
290,40,1.98
30,50,2.17
40,50,2.1
50,50,2.06
60,50,2.02
70,50,2.0
80,50,1.96
90,50,1.92
100,50,1.88
110,50,1.86
120,50,1.84
130,50,1.84
140,50,1.83
150,50,1.81
160,50,1.8
170,50,1.81
180,50,1.82
190,50,1.84
200,50,1.86
210,50,1.87
220,50,1.89
230,50,1.9
240,50,1.92
250,50,1.93
260,50,1.97
270,50,2.0
280,50,2.02
290,50,2.02
30,60,2.19
40,60,2.13
50,60,2.08
60,60,2.04
70,60,2.02
80,60,1.98
90,60,1.93
100,60,1.9
110,60,1.89
120,60,1.87
130,60,1.86
140,60,1.85
150,60,1.83
160,60,1.83
170,60,1.83
180,60,1.84
190,60,1.85
200,60,1.88
210,60,1.89
220,60,1.9
230,60,1.92
240,60,1.95
250,60,1.97
260,60,1.99
270,60,2.03
280,60,2.07
290,60,2.07
30,70,2.2
40,70,2.15
50,70,2.09
60,70,2.06
70,70,2.03
80,70,1.99
90,70,1.96
100,70,1.93
110,70,1.9
120,70,1.89
130,70,1.88
140,70,1.87
150,70,1.85
160,70,1.85
170,70,1.84
180,70,1.85
190,70,1.87
200,70,1.91
210,70,1.91
220,70,1.92
230,70,1.94
240,70,1.97
250,70,2.0
260,70,2.02
270,70,2.05
280,70,2.09
290,70,2.11
30,80,2.22
40,80,2.16
50,80,2.11
60,80,2.07
70,80,2.04
80,80,2.0
90,80,1.96
100,80,1.93
110,80,1.92
120,80,1.91
130,80,1.9
140,80,1.89
150,80,1.87
160,80,1.88
170,80,1.88
180,80,1.89
190,80,1.9
200,80,1.93
210,80,1.93
220,80,1.93
230,80,1.95
240,80,1.99
250,80,2.03
260,80,2.04
270,80,2.08
280,80,2.12
290,80,2.13
30,90,2.23
40,90,2.16
50,90,2.11
60,90,2.06
70,90,2.02
80,90,1.96
90,90,1.93
100,90,1.9
110,90,1.91
120,90,1.9
