30,10,2.01
70,10,1.79
110,10,1.66
150,10,1.57
190,10,1.57
230,10,1.65
270,10,1.71
30,50,2.18
70,50,1.98
110,50,1.83
150,50,1.77
190,50,1.8
230,50,1.87
270,50,1.96
30,90,2.22
70,90,1.99
110,90,1.87
150,90,1.84
190,90,1.85
230,90,1.9
270,90,2.03
30,130,2.23
70,130,2.02
110,130,1.93
150,130,1.87
190,130,1.89
230,130,1.955
270,130,2.05
30,170,2.2
70,170,1.99
110,170,1.91
150,170,1.86
190,170,1.88
230,170,1.96
270,170,2.06
30,210,2.21
70,210,1.975
110,210,1.86
150,210,1.84
190,210,1.85
230,210,1.94
270,210,2.08
30,250,2.14
70,250,1.94
110,250,1.83
150,250,1.77
190,250,1.81
230,250,1.95
270,250,2.06
30,290,1.96
70,290,1.82
110,290,1.72
150,290,1.65
190,290,1.73
230,290,1.875
270,290,2.0
